# Quartic Well - state n = 3
# Parity (even=+1, odd=-1) = -1
# gamma =   1.4142136E+00
# epsilon (numeric) =   7.3357301E+00
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -6.9120000000E+00    2.2825217148E+03   -2.8123772433E-67    0.0000000000E+00    7.9094657588-134   -2.8123772433E-67    1.8670789570E-69
   -6.9040000000E+00    2.2719728163E+03   -4.8257775829E-67    0.0000000000E+00    2.3288129280-133   -4.8257775829E-67    3.1845244804E-69
   -6.8960000000E+00    2.2614605248E+03   -8.2702585287E-67    0.0000000000E+00    6.8397176131-133   -8.2702585287E-67    5.4247590036E-69
   -6.8880000000E+00    2.2509847554E+03   -1.4155641152E-66    0.0000000000E+00    2.0038217643-132   -1.4155641152E-66    9.2293446707E-69
   -6.8800000000E+00    2.2405454234E+03   -2.4199104518E-66    0.0000000000E+00    5.8559665949-132   -2.4199104518E-66    1.5682541571E-68
   -6.8720000000E+00    2.2301424442E+03   -4.1317016631E-66    0.0000000000E+00    1.7070958633-131   -4.1317016631E-66    2.6614468940E-68
   -6.8640000000E+00    2.2197757333E+03   -7.0456187793E-66    0.0000000000E+00    4.9640743983-131   -7.0456187793E-66    4.5110282362E-68
   -6.8560000000E+00    2.2094452064E+03   -1.1999702262E-65    0.0000000000E+00    1.4399285438-130   -1.1999702262E-65    7.6364282944E-68
   -6.8480000000E+00    2.1991507792E+03   -2.0411906060E-65    0.0000000000E+00    4.1664590902-130   -2.0411906060E-65    1.2911081157E-67
   -6.8400000000E+00    2.1888923674E+03   -3.4678398265E-65    0.0000000000E+00    1.2025913062-129   -3.4678398265E-65    2.1801840236E-67
   -6.8320000000E+00    2.1786698869E+03   -5.8843364289E-65    0.0000000000E+00    3.4625415208-129   -5.8843364289E-65    3.6769058704E-67
   -6.8240000000E+00    2.1684832538E+03   -9.9723973252E-65    0.0000000000E+00    9.9448708412-129   -9.9723973252E-65    6.1934309081E-67
   -6.8160000000E+00    2.1583323841E+03   -1.6879745074E-64    0.0000000000E+00    2.8492579376-128   -1.6879745074E-64    1.0419337765E-66
   -6.8080000000E+00    2.1482171941E+03   -2.8536259274E-64    0.0000000000E+00    8.1431809337-128   -2.8536259274E-64    1.7506913250E-66
   -6.8000000000E+00    2.1381376000E+03   -4.8182981257E-64    0.0000000000E+00    2.3215996828-127   -4.8182981257E-64    2.9379222246E-66
   -6.7920000000E+00    2.1280935182E+03   -8.1256175627E-64    0.0000000000E+00    6.6025660775-127   -8.1256175627E-64    4.9241680956E-66
   -6.7840000000E+00    2.1180848653E+03   -1.3686291666E-63    0.0000000000E+00    1.8731457957-126   -1.3686291666E-63    8.2430496298E-66
   -6.7760000000E+00    2.1081115578E+03   -2.3024092652E-63    0.0000000000E+00    5.3010884245-126   -2.3024092652E-63    1.3781802990E-65
   -6.7680000000E+00    2.0981735123E+03   -3.8685409300E-63    0.0000000000E+00    1.4965608927-125   -3.8685409300E-63    2.3013774163E-65
   -6.7600000000E+00    2.0882706458E+03   -6.4920286047E-63    0.0000000000E+00    4.2146435405-125   -6.4920286047E-63    3.8382561300E-65
   -6.7520000000E+00    2.0784028750E+03   -1.0881351214E-62    0.0000000000E+00    1.1840380424-124   -1.0881351214E-62    6.3935926341E-65
   -6.7440000000E+00    2.0685701169E+03   -1.8216084180E-62    0.0000000000E+00    3.3182572285-124   -1.8216084180E-62    1.0637056960E-64
   -6.7360000000E+00    2.0587722887E+03   -3.0457737007E-62    0.0000000000E+00    9.2767374359-124   -3.0457737007E-62    1.7675191590E-64
   -6.7280000000E+00    2.0490093075E+03   -5.0864088924E-62    0.0000000000E+00    2.5871555420-123   -5.0864088924E-62    2.9334149854E-64
   -6.7200000000E+00    2.0392810906E+03   -8.4839198192E-62    0.0000000000E+00    7.1976895499-123   -8.4839198192E-62    4.8623948472E-64
   -6.7120000000E+00    2.0295875553E+03   -1.4133642680E-61    0.0000000000E+00    1.9975985539-122   -1.4133642680E-61    8.0499815997E-64
   -6.7040000000E+00    2.0199286192E+03   -2.3517142169E-61    0.0000000000E+00    5.5305597579-122   -2.3517142169E-61    1.3310921148E-63
   -6.6960000000E+00    2.0103041997E+03   -3.9083053344E-61    0.0000000000E+00    1.5274850587-121   -3.9083053344E-61    2.1983179228E-63
   -6.6880000000E+00    2.0007142147E+03   -6.4873383367E-61    0.0000000000E+00    4.2085558695-121   -6.4873383367E-61    3.6261241273E-63
   -6.6800000000E+00    1.9911585818E+03   -1.0755221339E-60    0.0000000000E+00    1.1567478604-120   -1.0755221339E-60    5.9739999859E-63
   -6.6720000000E+00    1.9816372189E+03   -1.7809327327E-60    0.0000000000E+00    3.1717213986-120   -1.7809327327E-60    9.8301186968E-63
   -6.6640000000E+00    1.9721500439E+03   -2.9454500234E-60    0.0000000000E+00    8.6756758404-120   -2.9454500234E-60    1.6155630417E-62
   -6.6560000000E+00    1.9626969751E+03   -4.8655551304E-60    0.0000000000E+00    2.3673626727-119   -4.8655551304E-60    2.6519251936E-62
   -6.6480000000E+00    1.9532779304E+03   -8.0276855689E-60    0.0000000000E+00    6.4443735594-119   -8.0276855689E-60    4.3478189389E-62
   -6.6400000000E+00    1.9438928282E+03   -1.3228973440E-59    0.0000000000E+00    1.7500573828-118   -1.3228973440E-59    7.1195912559E-62
   -6.6320000000E+00    1.9345415868E+03   -2.1774108853E-59    0.0000000000E+00    4.7411181633-118   -2.1774108853E-59    1.1644281913E-61
   -6.6240000000E+00    1.9252241246E+03   -3.5795934784E-59    0.0000000000E+00    1.2813489470-117   -3.5795934784E-59    1.9021510887E-61
   -6.6160000000E+00    1.9159403604E+03   -5.8776905709E-59    0.0000000000E+00    3.4547246448-117   -5.8776905709E-59    3.1035058375E-61
   -6.6080000000E+00    1.9066902126E+03   -9.6396228284E-59    0.0000000000E+00    9.2922328274-117   -9.6396228284E-59    5.0575011452E-61
   -6.6000000000E+00    1.8974736000E+03   -1.5790442290E-58    0.0000000000E+00    2.4933806770-116   -1.5790442290E-58    8.2318204446E-61
   -6.5920000000E+00    1.8882904415E+03   -2.5835097095E-58    0.0000000000E+00    6.6745224188-116   -2.5835097095E-58    1.3382365064E-60
   -6.5840000000E+00    1.8791406561E+03   -4.2219012481E-58    0.0000000000E+00    1.7824450149-115   -4.2219012481E-58    2.1729390838E-60
